Code,Name,Direction,Description,Image
CSPKicking,Bearish Kicking,0,"The Bearish Kicking Pattern is a Black Marubozu following a White Marubozu. After the White Marubozu, market gaps lower on the opening and it opens with a gap below the prior session's opening thus forming a Black Marubozu.",kicking.gif
CSPMarubozu,White Marubozu,1,A long white candle that has no shadows or only small shadows on either end.,whitemarubozu.jpg
CSPMarubozu,Black Marubozu,0,A long black candle that has no shadows or only small shadows on either end.,blackmarubozu.jpg
CSPNHigherClose,N Consecutive Higher Close Prices,1,Look for N consecutive higher close prices. Only the close price is evaluated. The colors of the candles are ignored.,deliberation.gif
CSPNLowerClose,N Consecutive Lower Close Prices,0,Look for N consecutive lower close prices. Only the close price is evaluated. The colors of the candles are ignored.,candlestick10.gif
CSPNLongBlackCandleBodies,N Consecutive Long  Black Bodies,0,Current candle is the N-th consecutive long black candle body.,three_black_crows.png
CSPNLongBlackCandles,N Consecutive Long  Black Candles,0,Current candle is the N-th consecutive long black candle.,concealing_baby_swallow.png
CSPNLongWhiteCandleBodies,N Consecutive Long  White Bodies,1,Current candle is the N-th consecutive long white candle body.,candlestick61.gif
CSPNLongWhiteCandles,N Consecutive Long  White Candles,1,Current candle is the N-th consecutive long white candle.,forex_candlesticks_patterns_bearish_deliberation.gif
CSPStar,Morning Star,1,The market is in downtrend. The first candlestick is a long black body; the second one is a small real body of either color. It is characteristically marked with a gap in lower direction thus forming a star. Finally we see the black candlestick with a closing price well within first session's black real body. This pattern clearly shows that the market now turned bullish.,morning_star.gif
CSPStar,Evening Star,0,The market is in uptrend. The first candlestick is a long white body; the second one is a small real body of either color. It is characteristically marked with a gap in higher direction thus forming a star. Finally we see the black candlestick with a closing price well within first session's white real body. This pattern clearly shows that the market now turned bearish.,evening_star.gif
CSPStomach,Above The Stomach,1,A black candle followed by a white candle. The opening price of the second bar must be at or above the mid point of the first candle's body.,image002.gif
CSPStomach,Below The Stomach,0,A white candle followed by a black candle. The opening price of the second bar must be at or below the mid point of the first candle's body.,image012.gif
CSPTasukiGap,Upside Tasuki Gap,1,"The market is in uptrend. The first candle of the formation is a white candle, followed by another white candle that has gapped above the high of the first candle. The third candle is a black candle that opens within the body of the second candle and closes within the gap between the first and second candle.",upside_tasuki_gap.gif
CSPTasukiGap,Downside Tasuki Gap,0,"The market is in downtrend. The first candle of the formation is a black candle, followed by another black candle that has gapped below the low of the first candle. The third candle is a white candle that opens within the body of the second candle and closes within the gap between the first and second candle.",downside_tasuki_gap.gif
CSPThreeBlackCrows,Three Black Crows,0,"The market forms a uptrend. The pattern is characterized by three long candlesticks stepping downward like a staircase. In strict mode, the opening of each bar is higher than the previous close but lower than the previous open.",three_black_crows.gif
CSPThreeInside,Three Inside Up,1,"The market is in downtrend. The first two bars of this pattern is the Bullish Harami Pattern, and the third bar confirms the reversal suggested by the Bullish Harami Pattern, since it is a white candlestick closing with a new high for the last three bars.",three_inside_up.gif
CSPThreeInside,Three Inside Down,0,"The market is in uptrend. The first two bars of this pattern is the Bearish Harami Pattern, and the third bar confirms the reversal suggested by the Bearish Harami Pattern, since it is a black candlestick closing with a new low for the last three bars.",three_inside_down.gif
CSPThreeMethods,Rising Three Methods,1,The formation starts with a long white candle body. The following three bars are smaller candles that open/close within the high/low span of the first candle. The last candle is a again a long white candle that closes above the close price of the first candle.,rising_three_methods.gif
CSPThreeMethods,Falling Three Methods,0,The formation starts with a long black candle body. The following three bars are smaller candles that open/close within the high/low span of the first candle. The last candle is a again a long black candle that closes below the close price of the first candle.,falling_three_methods.gif
CSPThreeOutside,Three Outside Up,1,"The market is in downtrend. The first two bars of this pattern is the Bullish Engulfing Pattern, and the third bar confirms the reversal suggested by the Bullish Engulfing Pattern, since it is a white candlestick closing with a new high for the last three bars.",three_outside_up.gif
CSPThreeOutside,Three Outside Down,0,"The market is in uptrend. The first two bars of this pattern is the Bearish Engulfing Pattern, and the third bar confirms the reversal suggested by the Bearish Engulfing Pattern, since it is a black candlestick closing with a new low for the last three bars.",three_outside_down.gif
CSPThreeWhiteSoldiers,Three White Soldiers,1,"The market forms a downtrend. The pattern is characterized by three long candlesticks stepping upward like a staircase. In strict mode, the opening of each bar is lower than the previous close but higher than the previous open.",three_white_soldiers.gif
